呵	口可 dz
嗄	口夊 dh
錒	金可 zz
𠼞	亼 jc
𥥩	口 ed
𨉚	身乚 za
愛	爫夂 yh
捱	扌土 ug
礙	石疋 mt
娭	女矢 bo
薆	艹夂 lh
靉	⻗夂 th
曖	日夂 oh
欬	亥欠 ke
餲	飠亾 qf
噯	口夂 dh
敳	山攵 vh
懓	忄夂 hh
硙	石己 mv
僾	亻夂 jh
藹	艹亾 lf
溰	氵豆 kz
焥	火⺋ cz
嬡	女夂 bh
懝	忄疋 ht
瞹	目夂 qh
諰	言心 sh
隑	阝豆 tz
靄	⻗亾 tf
凒	冫豆 wz
啀	口土 dg
娾	女土 bg
昹	日 ok
溾	氵鬼 ka
濭	氵皿 ka
硋	石亥 mk
磑	石豆 mz
銰	金乂 zb
鎄	金口 zd
鑀	金夂 zh
㑸	亻可 jz
㕌	厂寸 xk
㗒	口口 dd
㗨	匸口 nd
㘷	土乂 gb
㝶	罒寸 yk
㢊	广可 xz
㤅	旡心 dh
㱯	歹豆 gz
㿄	疒殳 ar
䀳	目束 qx
䅬	禾皿 xa
䑂	月 vh
䔽	艹亾 lf
䝽	貝土 og
䨠	⻗亾 tf
䬵	飠亥 qk
䶣	齒豆 lz
伌	亻⺋ jz
嘊	口土 dg
堨	土亾 gf
塧	土皿 ga
壒	土皿 ga
嵦	山豆 vz
敱	山攴 vh
璦	王夂 nh
皚	白豆 uz
皧	白夂 uh
絠	糹⺝ iv
譪	言亾 sf
譺	言疋 st
賹	貝皿 oa
躷	身女 zb
馤	禾亾 xf
鱫	魚夂 wh
鴱	艹鳥 lx
𠊎	亻土 jg
𠳳	口木 de
𡁍	口欠 de
𡉓	土女 gb
𡟓	女口 bd
𡰽	尸尤 co
𡶃	山乙 va
𢟪	心 ih
𢟰	忄豕 hj
𢣏	忄皿 ha
𢣕	匕心 vh
𢰇	扌矢 uo
𣋞	日皿 oa
𣜬	木夂 eh
𣝅	木疋 et
𣤃	乃 vv
𣩄	歹皿 ga
𣩱	歹皿 ga
𤢵	犭⽱ mv
𤸖	疒口 ad
𤸳	疒豆 az
𤻢	疒又 ar
𥡽	禾夊 xh
𥤦	穴又 er
𥴨	⺮夂 rh
𦗍	耳方 ql
𦗐	耳豕 qj
𦤦	自亾 of
𦥂	土至 gy
𦥈	羊至 gy
𦩴	舟豆 iz
𧏹	虫豕 cj
𧓁	虫夂 ch
𧡋	厂見 xe
𧪚	言豆 sz
𧰿	豕乂 jb
𧵨	貝女 ob
𨶂	門皿 aa
𩂒	巳 tv
𩂢	 tk
𩈋	面 bp
𩪂	豆 fz
𩫇	不高 cg
𩮖	镸豆 pz
𪇈	爫鳥 yx
𪕭	鼠亾 pf
广	广 xg
厂	厂 xc
鮟	魚女 wb
闇	門音 ax
厈	厂干 xe
菴	艹乚 la
晻	日乚 oa
咹	口女 db
鞌	宀革 wt
荌	艹女 lb
銨	金女 zb
啽	口廾 dl
痷	疒乚 aa
韽	亽音 jx
萻	艹音 lx
儑	亻灬 jc
媕	女廾 bl
峖	山女 vb
堓	土干 ge
洝	氵女 kb
盫	亼皿 ja
腤	月音 vx
錌	金干 ze
隌	阝音 tx
㜝	女酉 by
㟁	山干 ve
㱘	厂止 xs
㸩	牜干 qe
㽢	田乚 qa
䁆	目乚 qa
䅁	宀禾 wx
䅖	禾乚 xa
䎏	亽羽 jz
䎨	耒乚 aa
䜙	言灬 sc
䨄	亽隹 ju
䬓	⺇音 ox
䮗	馬干 ne
䯥	骨灬 fc
侒	亻女 jb
偣	亻音 jx
屵	山厂 vx
屽	山干 ve
揞	扌音 ux
玵	王甘 nz
罯	罒音 yx
葊	艹廾 ll
蓭	艹乚 la
裺	衤乚 ta
誝	言口 sd
諳	言音 sx
豻	豸干 me
貋	豸干 me
雸	⻗甘 tz
馣	禾乚 xa
鵪	大鳥 mx
鶕	音鳥 xx
𠉬	亻厂 jx
𠪚	厂攵 xh
𠰑	口干 de
𠽪	口音 dx
𠿑	口心 dh
𡎑	土彡 ge
𡪁	宀口 wd
𡪙	宀月 wv
𡯏	尢斗 oj
𡹼	山言 vs
𡽜	山言 vs
𢰍	扌火 uc
𣆛	覀日 vo
𣚖	木乚 ea
𣣚	大欠 me
𣵱	氵王 kn
𣽥	氵頁 kw
𤃷	氵音 kx
𤜁	厶心 kh
𤞿	犭犬 mm
𤟉	犭干 me
𥏮	矢音 ox
𥦍	廾 el
𥳬	⺮黑 rp
𦺽	⺿乚 la
𧖮	丿日 to
𧩸	言廾 sl
𧫥	言乚 sa
𧫧	言酉 sy
𧮍	言音 sx
𨲊	镸干 pe
𩅝	⻗乚 ta
𩈴	面音 bx
𩓤	山頁 vw
𩭢	镸干 pe
𩹎	魚音 wx
𪁟	亼鳥 jx
𪒠	黑攵 ph
𪘒	齒口 ld
仰	亻卩 jz
骯	骨几 fo
枊	木卩 ez
昻	日卩 oz
㦹	日戈 op
㭿	木卩 ez
㼜	瓦 mr
䀚	目卩 qz
䍩	⺶攵 gh
䒢	艹卩 lz
䩕	革卩 tz
䭹	馬卩 nz
䭺	馬几 no
岇	山卩 vz
醠	酉皿 ya
𠵫	口卩 dz
𠹃	口皿 da
𡕉	士凵 gm
𡵙	山卩 vz
𢓋	彳卩 wz
𣉗	日皿 oa
𣖮	木皿 ea
𤭒	丶瓦 ir
𦫫	巴 hm
𨋕	車卩 yz
𩉰	革巾 tr
𩑝	頁 bw
𩔘	龴頁 kw
𩜟	卩 qz
艹	艹 lc
奧	丿大 tm
嚣	口口 dd
獓	犭攵 mh
爊	火灬 cc
垇	土一 gf
鼇	龶黽 ad
隞	阝攵 th
墺	土大 gm
泑	氵力 ks
熝	火鹿 cx
滶	氵攵 kh
芺	艹大 lm
抝	扌㇆ ua
襖	衤大 tm
鏕	金鹿 zx
厫	厂攵 xh
慠	忄攵 hh
翺	自羽 oz
謷	龶言 as
軪	車力 ys
扷	扌大 um
澚	氵ㄅ ka
鰲	龶魚 aw
㑃	亻力 js
㕭	口大 dm
㘬	土厶 gk
㘭	土㇆ ga
㜜	女攵 bh
㜩	女大 bm
㟼	山攵 vh
㠂	山攵 vh
㠗	山大 vm
㤇	忄大 hm
㥿	龶心 ah
㿰	六皮 ar
䐿	月大 vm
䚫	白用 ut
䜒	言大 sm
䞝	走丶 pi
䥝	金匕 zv
䦋	镸攵 ph
䫨	龶頁 aw
䮯	馬攵 nh
䯠	骨皿 fa
䴈	丿鳥 tx
䵅	龶夂 ah
嗸	龶口 ad
墽	土攵 gh
媼	女皿 ba
嫯	龶女 ab
岰	山力 vs
嶴	丿山 tv
摮	龶手 au
擙	扌大 um
柪	木力 es
梎	木匕 ev
眑	目力 qs
磝	石攵 mh
翶	白羽 uz
蔜	艹攵 lh
謸	言攵 sh
郩	㐅阝 bt
镺	镸大 pm
驁	龶馬 an
鷔	龶鳥 ax
𡊛	土厶 gk
𡏼	土攵 gh
𡒃	丿土 tg
𢁱	巾大 rm
𢕟	彳攵 wh
𢧴	士戈 gp
𢲷	扌乂 ub
𢳆	扌攵 uh
𣊁	士日 go
𣷫	氵攵 kh
𤇯	衣火 tc
𤏶	火 cv
𤺾	疒大 am
𥂢	龶皿 aa
𥑑	石力 ms
𥜌	礻大 fm
𦪈	士舟 gi
𦽀	⺿頁 lw
𧅃	⺿灬 lc
𧨲	言 ss
𨱧	镸力 ps
𩈏	面力 bs
𩑍	頁乚 wa
𩑤	𠂉頁 ew
𩕀	龶頁 aw
𩘮	士虫 gc
𩟇	大 qm
𩣻	⺿馬 ln
𩥊	高馬 gn
𩮯	镸攵 ph
𩱏	士鬲 gn
𩼈	魚大 wm
𪁾	⺿鳥 lx
𪃨	山鳥 vx
伯	亻白 ju
抜	扌又 ur
覇	覀月 vv
峇	山口 vd
罷	罒匕 yv
犮	𠂇丶 ni
丷	丷 hb
鈀	金巴 zm
哱	口子 dh
茇	艹丶 li
軷	車丶 yi
癹	癶殳 hr
仈	亻八 jh
弝	弓巴 bm
豝	豕巴 jm
鲌	鱼白 wu
壩	土月 gv
颰	⺇丶 oi
